,TUCASEID,TEWHERE,TUACTDUR,PEEDUCA,PTDTRACE,TRCHILDNUM,TRSPPRES,TRDPFTPT,TEAGE,TESEX,TEIO1COW,TUDIARYDAY,Telecommuting,Education,Race,NumChild,Married,Gender,Fulltime
106,20030111021453,2,560,39,2,3,2,1,31,1,4,2,0,1,1,3,1,0,1
107,20030111021498,2,440,44,1,2,1,1,37,1,4,2,0,4,0,2,0,0,1
108,20030111021527,2,240,40,1,2,3,1,35,1,4,3,0,2,0,2,1,0,1
109,20030111021540,2,490,43,1,2,3,1,42,2,4,2,0,3,0,2,1,1,1
110,20030111021660,2,600,39,1,2,1,1,38,1,4,3,0,1,0,2,0,0,1
111,20030111021662,2,415,39,1,1,1,1,34,1,4,2,0,1,0,1,0,0,1
113,20030111021766,2,550,39,1,0,1,1,45,1,4,3,0,1,0,0,0,0,1
114,20030111021796,2,290,43,1,0,3,1,25,1,4,5,0,3,0,0,1,0,1
115,20030111021807,2,465,41,2,1,1,1,33,2,5,3,0,2,1,1,0,1,1
116,20030111021887,2,710,41,1,0,3,1,30,1,4,5,0,2,0,0,1,0,1
117,20030111021924,2,867,39,1,1,1,1,48,1,2,5,0,1,0,1,0,0,1
120,20030111021978,2,385,42,1,4,2,1,31,1,4,3,0,2,0,3,1,0,1
121,20030111021987,2,540,39,1,1,1,1,42,2,2,3,0,1,0,1,0,1,1
122,20030111022023,2,625,39,1,2,1,2,34,1,4,6,0,1,0,2,0,0,0
123,20030111022039,2,205,39,1,1,1,2,27,2,5,4,0,1,0,1,0,1,0
124,20030111022051,2,763,43,1,2,1,1,56,1,3,3,0,3,0,2,0,0,1
125,20030111022148,2,460,42,1,2,1,1,40,1,4,3,0,2,0,2,0,0,1
126,20030111022160,2,285,39,1,1,1,1,54,2,4,3,0,1,0,1,0,1,1
128,20030111022176,2,580,40,1,0,3,1,44,2,4,6,0,2,0,0,1,1,1
129,20030111022210,2,260,34,1,2,1,1,35,2,4,2,0,0,0,2,0,1,1
130,20030111022215,2,625,39,1,1,1,1,34,1,4,3,0,1,0,1,0,0,1
132,20030111022281,2,475,41,1,0,3,1,54,1,4,3,0,2,0,0,1,0,1
134,20030111022312,2,535,40,1,0,2,1,23,2,4,6,0,2,0,0,1,1,1
135,20030111022326,2,490,39,1,4,1,1,31,1,4,5,0,1,0,3,0,0,1
136,20030111022330,2,480,42,1,0,3,1,50,1,4,3,0,2,0,0,1,0,1
137,20030111022384,2,376,44,1,0,1,1,27,2,2,5,0,4,0,0,0,1,1
138,20030111022391,2,560,43,1,1,1,1,43,2,4,2,0,3,0,1,0,1,1
140,20030111022430,2,515,39,19,3,1,1,35,2,4,4,0,1,3,3,0,1,1
143,20030111022504,2,395,40,1,1,2,1,52,1,4,3,0,2,0,1,1,0,1
144,20030111022532,2,647,37,1,0,3,2,22,1,4,2,0,0,0,0,1,0,0
146,20030111022570,2,614,39,1,0,3,2,54,2,4,6,0,1,0,0,1,1,0
147,20030111022604,2,485,39,1,2,1,1,39,2,4,3,0,1,0,2,0,1,1
150,20030111022693,2,545,39,1,2,2,1,24,1,4,3,0,1,0,2,1,0,1
151,20030111022699,2,667,37,1,1,1,1,30,1,3,3,0,0,0,1,0,0,1
152,20030111022726,2,590,40,2,0,3,1,31,1,3,4,0,2,1,0,1,0,1
153,20030111022779,2,628,36,1,0,3,1,56,2,4,3,0,0,0,0,1,1,1
154,20030111022782,2,555,43,1,3,1,1,38,2,4,4,0,3,0,3,0,1,1
155,20030111022849,2,510,39,1,1,1,1,43,2,2,3,0,1,0,1,0,1,1
156,20030111022930,2,493,39,1,0,1,1,57,2,4,3,0,1,0,0,0,1,1
157,20030111022952,2,420,42,1,1,1,1,50,1,4,3,0,2,0,1,0,0,1
159,20030111023146,2,448,43,1,2,1,1,36,2,3,3,0,3,0,2,0,1,1
160,20030111023202,2,405,40,1,0,3,1,48,2,3,2,0,2,0,0,1,1,1
161,20030111023206,2,620,44,1,0,3,1,57,2,3,3,0,4,0,0,1,1,1
163,20030111023269,2,500,43,1,2,1,2,52,1,4,2,0,3,0,2,0,0,0
164,20030111023343,2,560,40,1,0,3,1,57,2,4,4,0,2,0,0,1,1,1
167,20030111023527,2,525,44,1,1,1,1,43,1,4,2,0,4,0,1,0,0,1
168,20030111023614,2,465,40,1,3,1,1,41,1,4,5,0,2,0,3,0,0,1
169,20030111023623,2,480,40,1,0,2,1,31,2,4,2,0,2,0,0,1,1,1
170,20030112020031,2,345,40,1,1,1,2,23,2,4,2,0,2,0,1,0,1,0
171,20030112020048,2,690,40,1,0,3,1,41,1,4,5,0,2,0,0,1,0,1
172,20030112020076,2,455,37,1,0,3,1,24,1,4,6,0,0,0,0,1,0,1
173,20030112020084,2,435,39,1,2,1,1,25,1,4,5,0,1,0,2,0,0,1
