,TUCASEID,LEJF_11,LEJF_12,LEJF_13,LEJF_14
168,20170111161980,-1,-1,-1,-1
169,20170111161998,-1,-1,-1,-1
170,20170111162011,1,1,3,2
171,20170111162071,-1,-1,-1,-1
172,20170111162104,-1,-1,-1,-1
173,20170111162173,-1,-1,-1,-1
174,20170111162209,-1,-1,-1,-1
175,20170111162238,-1,-1,-1,-1
176,20170111162239,-1,-1,-1,-1
177,20170111162242,1,1,2,1
178,20170111162244,-1,-1,-1,-1
179,20170111162265,-1,-1,-1,-1
180,20170111162281,-1,-1,-1,-1
181,20170111162352,-1,-1,-1,-1
182,20170111162442,1,1,1,2
183,20170111162448,1,1,2,1
184,20170111162458,-1,-1,-1,-1
185,20170111162478,1,3,1,2
186,20170111162487,-1,-1,-1,-1
187,20170111162503,1,1,4,1
188,20170111162516,-1,-1,-1,-1
189,20170111162520,-1,-1,-1,-1
190,20170111162526,-1,-1,-1,-1
191,20170112160001,-1,-1,-1,-1
192,20170112160010,-1,-1,-1,-1
193,20170112160018,-1,-1,-1,-1
194,20170112160040,-1,-1,-1,-1
195,20170112160052,-1,-1,-1,-1
196,20170112160056,-1,-1,-1,-1
197,20170112160063,-1,-1,-1,-1
198,20170112160106,-1,-1,-1,-1
199,20170112160107,-1,-1,-1,-1
200,20170112160109,-1,-1,-1,-1
201,20170112160121,-1,-1,-1,-1
202,20170112160124,1,1,1,1
203,20170112160507,-1,-1,-1,-1
204,20170112160509,1,2,1,2
205,20170112160515,-1,-1,-1,-1
206,20170112160536,-1,-1,-1,-1
207,20170112160539,-1,-1,-1,-1
208,20170112160545,-1,-1,-1,-1
209,20170112160551,-1,-1,-1,-1
210,20170112160554,-1,-1,-1,-1
211,20170112160560,2,-1,-1,-1
212,20170112160571,1,1,5,1
213,20170112160579,1,3,5,2
214,20170112160580,1,1,2,1
215,20170112160581,-1,-1,-1,-1
216,20170112160590,-1,-1,-1,-1
217,20170112160597,-1,-1,-1,-1
218,20170112160609,-1,-1,-1,-1
219,20170112160612,-1,-1,-1,-1
220,20170112160616,1,1,2,1
221,20170112160621,-1,-1,-1,-1
222,20170112160628,-1,-1,-1,-1
223,20170112160629,-1,-1,-1,-1
224,20170112160641,2,-1,-1,-1
225,20170112160646,-1,-1,-1,-1
226,20170112160649,-1,-1,-1,-1
227,20170112160650,1,3,3,1
228,20170112160652,-1,-1,-1,-1
229,20170112160664,-1,-1,-1,-1
230,20170112160665,-1,-1,-1,-1
231,20170112160674,-1,-1,-1,-1
232,20170112160683,-1,-1,-1,-1
233,20170112160689,-1,-1,-1,-1
234,20170112160695,1,2,1,2
235,20170112160698,1,1,2,1
236,20170112160708,1,2,1,1
237,20170112160710,-1,-1,-1,-1
238,20170112160713,-1,-1,-1,-1
239,20170112160715,-1,-1,-1,-1
240,20170112160716,-1,-1,-1,-1
241,20170112160717,-1,-1,-1,-1
242,20170112160718,-1,-1,-1,-1
243,20170112160724,-1,-1,-1,-1
244,20170112160741,-1,-1,-1,-1
245,20170112160751,1,2,5,2
246,20170112160754,-1,-1,-1,-1
247,20170112160760,2,-1,-1,-1
248,20170112160767,-1,-1,-1,-1
249,20170112160774,-1,-1,-1,-1
250,20170112160775,-1,-1,-1,-1
251,20170112160790,-1,-1,-1,-1
252,20170112160798,-1,-1,-1,-1
253,20170112160800,-1,-1,-1,-1
254,20170112160804,2,-1,-1,-1
255,20170112160821,-1,-1,-1,-1
256,20170112160831,-1,-1,-1,-1
257,20170112160839,-1,-1,-1,-1
258,20170112160841,-1,-1,-1,-1
259,20170112160846,1,1,3,1
260,20170112160847,1,1,3,2
261,20170112160859,1,1,5,2
262,20170112160863,1,2,1,2
263,20170112160866,-1,-1,-1,-1
264,20170112160876,-1,-1,-1,-1
265,20170112160888,-1,-1,-1,-1
266,20170112160890,1,1,2,1
267,20170112160904,-1,-1,-1,-1
268,20170112160913,2,-1,-1,-1
269,20170112160917,1,2,4,1
270,20170112160920,-1,-1,-1,-1
271,20170112160926,-1,-1,-1,-1
272,20170112160927,-1,-1,-1,-1
273,20170112160930,-1,-1,-1,-1
274,20170112160935,-1,-1,-1,-1
275,20170112160937,-1,-1,-1,-1
276,20170112160938,-1,-1,-1,-1
277,20170112160939,1,1,5,2
278,20170112160941,1,1,3,1
279,20170112160949,-1,-1,-1,-1
280,20170112160961,1,3,2,1
281,20170112160964,-1,-1,-1,-1
282,20170112160975,-1,-1,-1,-1
283,20170112160985,-1,-1,-1,-1
284,20170112160995,1,2,5,2
285,20170112160998,-1,-1,-1,-1
286,20170112161006,1,1,5,2
287,20170112161017,-1,-1,-1,-1
288,20170112161019,1,2,5,2
289,20170112161021,-1,-1,-1,-1
290,20170112161027,1,1,7,2
291,20170112161030,-1,-1,-1,-1
292,20170112161031,-1,-1,-1,-1
293,20170112161034,-1,-1,-1,-1
294,20170112161057,1,2,1,1
295,20170112161058,2,-1,-1,-1
296,20170112161061,-1,-1,-1,-1
297,20170112161069,-1,-1,-1,-1
298,20170112161081,-1,-1,-1,-1
299,20170112161084,-1,-1,-1,-1
300,20170112161088,-1,-1,-1,-1
301,20170112161096,1,3,1,2
302,20170112161100,1,1,1,1
303,20170112161106,-1,-1,-1,-1
304,20170112161111,-1,-1,-1,-1
305,20170112161126,1,2,1,2
306,20170112161138,-1,-1,-1,-1
307,20170112161147,-1,-1,-1,-1
308,20170112161158,-1,-1,-1,-1
309,20170112161162,-1,-1,-1,-1
310,20170112161163,-1,-1,-1,-1
311,20170112161165,-1,-1,-1,-1
312,20170112161166,-1,-1,-1,-1
313,20170112161177,-1,-1,-1,-1
314,20170112161178,1,2,4,1
315,20170112161181,-1,-1,-1,-1
316,20170112161192,-1,-1,-1,-1
