,personid,year_week,expgroup,perform1,Selected,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ
45,28560,201048.0,0.0,-1.2178186,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
46,28560,201049.0,0.0,-0.85605085,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
47,28560,201050.0,0.0,-1.0747017,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
48,28560,201051.0,0.0,-1.8340164,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
49,28560,201052.0,0.0,-1.7982371,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
50,28560,201053.0,0.0,-1.7743843,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
51,28560,201102.0,0.0,-1.8419673,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
52,28560,201103.0,0.0,-1.8419673,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
53,28560,201104.0,0.0,-1.8419673,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
54,28560,201105.0,0.0,-1.4881506,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
55,28560,201107.0,0.0,-1.5636845,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
56,28560,201108.0,0.0,-1.3967147,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
57,28560,201109.0,0.0,-1.2615489,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
58,28560,201110.0,0.0,-1.2496223,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
59,28560,201111.0,0.0,-1.0786772,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
60,28560,201112.0,0.0,-1.2933526,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
61,28560,201113.0,0.0,-1.162162,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
62,28560,201114.0,0.0,-1.4603223,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
63,28560,201115.0,0.0,-0.95941305,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
64,28560,201116.0,0.0,-1.0031432,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
65,28560,201117.0,0.0,-1.0866281,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
66,26906,201001.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
67,26906,201002.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
68,26906,201003.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
69,26906,201004.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
70,26906,201005.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
71,26906,201006.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
72,26906,201007.0,0.0,-1.4841751,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
73,26906,201008.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
74,26906,201009.0,0.0,,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
75,26906,201010.0,0.0,0.12191468,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
76,26906,201011.0,0.0,0.734137,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
77,26906,201012.0,0.0,0.4320013,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
78,26906,201013.0,0.0,0.18154672,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
79,26906,201014.0,0.0,0.3763447,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
80,26906,201015.0,0.0,-0.2120248,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
81,26906,201016.0,0.0,1.0601255,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
82,26906,201017.0,0.0,0.89713126,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
83,26906,201018.0,0.0,0.8374992,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
84,26906,201019.0,0.0,-0.35911718,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
85,26906,201020.0,0.0,-0.108662575,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
86,26906,201021.0,0.0,0.6824559,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
87,26906,201022.0,0.0,0.3564674,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
88,26906,201023.0,0.0,0.29683533,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
89,26906,201024.0,0.0,0.75003886,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
90,26906,201025.0,0.0,0.026503399,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
91,26906,201026.0,0.0,0.32466364,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
92,26906,201027.0,0.0,0.16166936,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
93,26906,201028.0,0.0,0.09806185,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
94,26906,201029.0,0.0,-0.3948964,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
95,26906,201030.0,0.0,-0.975315,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
96,26906,201031.0,0.0,0.8573766,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
97,26906,201032.0,0.0,0.38429567,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
98,26906,201033.0,0.0,0.6625785,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
99,26906,201034.0,0.0,0.8573766,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
100,26906,201035.0,0.0,0.034454335,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
101,26906,201036.0,0.0,-0.51813596,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
102,26906,201037.0,0.0,-0.6135472,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
103,26906,201038.0,0.0,0.46778053,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
104,26906,201039.0,0.0,-0.4465775,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
105,26906,201040.0,0.0,0.7420879,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
106,26906,201041.0,0.0,-1.026996,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
107,26906,201042.0,0.0,-0.1444418,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
108,26906,201043.0,0.0,-0.19214743,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
109,26906,201044.0,0.0,-0.7765415,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
110,26906,201045.0,0.0,-0.7526887,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
111,26906,201046.0,0.0,-0.7606396,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
112,26906,201047.0,0.0,-1.2138432,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
113,26906,201048.0,0.0,-0.9872414,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
114,26906,201049.0,0.0,-1.0667508,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
115,26906,201050.0,0.0,-1.1422848,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
116,26906,201051.0,0.0,-1.2655243,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
117,26906,201052.0,0.0,-1.1502357,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
118,26906,201053.0,0.0,-1.3251563,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
119,26906,201101.0,0.0,-1.2933526,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
120,26906,201102.0,0.0,-0.832198,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
121,26906,201103.0,0.0,-1.1661376,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
122,26906,201104.0,0.0,-1.3370827,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
123,26906,201105.0,0.0,-1.0150696,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
124,26906,201106.0,0.0,-1.4682732,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
125,26906,201107.0,0.0,-1.4642978,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
126,26906,201108.0,0.0,-1.1860148,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
127,26906,201109.0,0.0,-1.1343337,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
128,26906,201110.0,0.0,-1.1780639,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
129,26906,201111.0,0.0,-0.97133946,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
130,26906,201112.0,0.0,-1.0389224,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
131,26906,201113.0,0.0,-1.2615489,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
